,BERT,RoBERTa Large,DeBERTa Large,BART Large,XLNet Large,ELECTRA Large,ALBERT Large v2,Average
comedy,0.3275176981045901,,,,,0.2786413356361543,0.2687859445111547,0.29164832608396635
thriller,0.3126725327812284,,,,,,,0.3126725327812284
horror,0.21906802356722013,,,,,0.02040816326530612,,0.11973809341626312
adventure,0.512987012987013,,,,0.10640932576113413,0.0841385545572696,0.20284567676030646,0.22659514251643081
drama,0.5906128984212095,,,,0.5456695917588706,,0.6069287729196051,0.5810704210332284
fantasy,0.11539513262236806,,,,,0.046511627906976744,,0.0809533802646724
romance,0.33645332658740196,,,,,0.2247191011235955,,0.28058621385549876
animation,0.08433734939759036,,,,,,,0.08433734939759036
war,0.3231850117096019,0.09081144419490284,0.02689161554192229,0.10134864467886233,0.05171367910221413,0.04398872481832993,0.05244381020335355,0.098626132892741
sci-fi,0.08341006110320583,,,,,,,0.08341006110320583
mystery,0.36363636363636365,,0.04308873720136519,0.060755336617405585,,0.10909090909090909,,0.14414283663651087
western,0.1518511894115543,0.06982009298564787,0.032400946544505795,0.06898949857430976,0.041015625,0.05128205128205128,0.08099352051835854,0.0709075606166325
musical,0.047858197932053176,,,,,0.034482758620689655,0.0390800900611129,0.040473682204618576
crime,0.6715328467153284,0.18028512410687075,0.12329202414998411,0.14326914787733447,0.1410146173688736,0.1182459636145269,,0.22960662063881968
action,0.5571428571428572,0.17082049845981517,0.15822222609271178,0.22277528984037323,0.13953488372093023,0.08333333333333333,0.19230769230769232,0.21773382584253045
documentary,0.07236842105263158,,,,0.033036646082465315,0.030596912990028684,0.0424496644295302,0.04461291113866395
children,0.07920792079207921,0.1637952559300874,0.025362676403829075,0.163516385191813,0.032208588957055216,0.01971326164874552,0.0336524514070206,0.0739223629043757
imax,0.005024248979449426,,,,,,0.006836782221039324,0.005930515600244375
